,doi,title,publish_date,publish_month,publish_year,volume,issue,abstract,full_text_filename,hypothesis,rule
0,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,"HYPOTHESIS 1 (Two types of inceptions): Hot inceptions (following high category performance and flows) differ from cold inceptions in their incentive to deliver performance. On a risk‐adjusted basis, cold inceptions deliver superior performance in general and outperform hot inceptions in particular.",3
1,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,"HYPOTHESIS 2 (Value‐creating inceptions): Inceptions are value‐creating and associated with better performance than existing funds. However, this value‐creation effect concentrates in cold inceptions only.",3
2,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,HYPOTHESIS 3 (The impact of family structure on inception performance): Hedge fund inceptions within existing families deliver poorer performance than stand‐alone inceptions.,3
3,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,"HYPOTHESIS 4 (Two types of inceptions within family‐affiliated funds): Within family‐affiliated nonclone funds, cold inceptions outperform hot inceptions. Clone inceptions, by contrast, deliver poor performance regardless of being launched in cold or hot categories.",3
4,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,"Hypothesis 3 that stand‐alone inceptions outperform family‐affiliated inceptions. To further understand the impact of inception conditions, we combine family structure with strategy‐based cold and hot inception measures.",3
5,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13009,The Economics of Hedge Fund Startups: Theory and Empirical Evidence,5,February,2021,N.A.,Accepted Articles,"This paper examines how market frictions influence the managerial incentives and organizational structure of new hedge funds. We develop a stylized model in which new managers search for accredited investors and have stronger incentives to acquire managerial skill when encountering low investor demand. Fund families endogenously arise to mitigate frictions and weaken the performance incentives of affiliated new funds. Empirically, based on a TASS‐HFR‐BarclayHedge merged database, we find that ex ante identified cold inceptions facing low investor demand outperform existing hedge funds and hot inceptions facing high demand and that cold stand‐alone inceptions outperform all types of family‐affiliated inceptions.",7.txt,our first hypothesis is that the incentive for new managers to deliver performance differs according to variation in the extensive margin related to investor demand. Our model predicts that hot inceptions deliver poorer performance than cold inceptions in the cross‐section.,4
6,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13004,Monetary Policy and Reaching for Income,1,February,2021,N.A.,Accepted Articles,"Using data on individual portfolio holdings and on mutual fund flows, we find that low interest rates lead to significantly higher demand for income‐generating assets such as high‐dividend stocks and high‐yield bonds. We argue that this “reaching‐for‐income” phenomenon is driven by investors who follow the “living off income” rule‐of‐thumb. Our empirical analysis shows that this preference for current income affects both household portfolio choices and the prices of income‐generating assets. In addition, we explore the implications of reaching for income for capital allocation and the effectiveness of monetary policy.",10.txt,"We hypothesize that, by increasing the demand for dividends, a reduction in interest rate increases the valuation of high‐dividend‐yield stocks relative to that of low‐dividend‐yield stocks. Specifically, in Section II.",2
7,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.13004,Monetary Policy and Reaching for Income,1,February,2021,N.A.,Accepted Articles,"Using data on individual portfolio holdings and on mutual fund flows, we find that low interest rates lead to significantly higher demand for income‐generating assets such as high‐dividend stocks and high‐yield bonds. We argue that this “reaching‐for‐income” phenomenon is driven by investors who follow the “living off income” rule‐of‐thumb. Our empirical analysis shows that this preference for current income affects both household portfolio choices and the prices of income‐generating assets. In addition, we explore the implications of reaching for income for capital allocation and the effectiveness of monetary policy.",10.txt,"we examine the hypothesis that investors who live off income will also reach for income. Specifically, we expect that, following a decrease in interest rates, these investors tilt their portfolio toward high‐dividend assets to compensate for the lower interest income they receive on deposits and bonds.",5
8,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.12997,The Private Production of Safe Assets,7,December,2020,N.A.,Accepted Articles,"Using high‐frequency, granular panel data on short‐term debt securities issued in Europe, we study the existence, empirical boundaries, and fragility of private assets' safety. We show that only securities with the shortest maturities, issued by banks (certificates of deposit, or CDs), benefit from a safety premium. The supply of such CDs responds positively to excess safety demand. During periods of stress, this relation vanishes for all issuers of private securities, even though their aggregate volumes do not collapse. Other dimensions of heterogeneity, including issuers' balance sheets or their domicile countries' fiscal capacity, are less relevant for private safety.",12.txt,"Hypothesis 2 is arguably the main prediction of theories of private safety production (Holmstrom and Tirole (1998), Krishnamurthy and Vissing‐Jorgensen (2015)).",3
9,https://onlinelibrary-wiley-com.libproxy1.nus.edu.sg/doi/10.1111/jofi.12997,The Private Production of Safe Assets,7,December,2020,N.A.,Accepted Articles,"Using high‐frequency, granular panel data on short‐term debt securities issued in Europe, we study the existence, empirical boundaries, and fragility of private assets' safety. We show that only securities with the shortest maturities, issued by banks (certificates of deposit, or CDs), benefit from a safety premium. The supply of such CDs responds positively to excess safety demand. During periods of stress, this relation vanishes for all issuers of private securities, even though their aggregate volumes do not collapse. Other dimensions of heterogeneity, including issuers' balance sheets or their domicile countries' fiscal capacity, are less relevant for private safety.",12.txt,"Hypothesis 1 would not hold. Empirically, the main difficulty in testing Hypothesis 1 relates to measurement. In turn, Hypothesis 2 raises significant identification issues. The main challenge is that the demand curve for safe assets is not observed, so it is difficult to disentangle demand and supply factors.",3
